event_id,timestamp_utc,plant_instance_id,species_id,reason,amount_ml,moisture_before,moisture_after,target_moisture,runoff_fraction
1,2026-02-10T06:00:00+0000,1,728,scheduled,394.6,0.3132,0.5536,0.6,0.25
2,2026-02-18T06:00:00+0000,1,728,scheduled,447.6,0.32,0.5927,0.6,0.25
3,2026-02-27T06:00:00+0000,1,728,scheduled,539.1,0.3146,0.6431,0.6,0.25
4,2026-03-08T06:00:00+0000,1,728,scheduled,409.5,0.3301,0.5796,0.6,0.25
5,2026-03-16T06:00:00+0000,1,728,scheduled,440.4,0.3265,0.5948,0.6,0.25
6,2026-03-24T14:30:00+0000,1,728,scheduled,441.1,0.3198,0.5885,0.6,0.25
7,2026-04-02T06:50:00+0000,1,728,scheduled,480.3,0.3185,0.6111,0.6,0.25
8,2026-04-11T08:10:00+0000,1,728,scheduled,395.9,0.3166,0.5578,0.6,0.25
9,2026-04-19T11:50:00+0000,1,728,scheduled,464.3,0.3149,0.5977,0.6,0.25
10,2026-04-28T06:00:00+0000,1,728,scheduled,387.8,0.3204,0.5567,0.6,0.25
11,2026-05-06T07:30:00+0000,1,728,scheduled,383.7,0.3181,0.5519,0.6,0.25
12,2026-05-14T14:30:00+0000,1,728,scheduled,407.7,0.31,0.5584,0.6,0.25
13,2026-05-22T14:30:00+0000,1,728,scheduled,513.3,0.3203,0.633,0.6,0.25
14,2026-05-31T06:00:00+0000,1,728,scheduled,461.7,0.3319,0.6132,0.6,0.25
15,2026-06-08T13:10:00+0000,1,728,scheduled,478.2,0.3233,0.6147,0.6,0.25
16,2026-06-16T17:00:00+0000,1,728,scheduled,437.5,0.325,0.5916,0.6,0.25
17,2026-06-25T18:50:00+0000,1,728,scheduled,388.5,0.3029,0.5396,0.6,0.25
18,2026-07-04T06:00:00+0000,1,728,scheduled,536.6,0.3023,0.6292,0.6,0.25
19,2026-07-12T13:50:00+0000,1,728,scheduled,523.5,0.3174,0.6364,0.6,0.25
20,2026-07-21T13:40:00+0000,1,728,scheduled,549.9,0.3078,0.6428,0.6,0.25
21,2026-07-30T11:50:00+0000,1,728,scheduled,500.6,0.3093,0.6143,0.6,0.25
22,2026-02-09T12:20:00+0000,2,728,scheduled,721.4,0.2969,0.5967,0.6,0.24
23,2026-02-17T11:40:00+0000,2,728,scheduled,757.7,0.3261,0.641,0.6,0.24
24,2026-02-26T06:00:00+0000,2,728,scheduled,657.4,0.3245,0.5977,0.6,0.24
25,2026-03-06T15:40:00+0000,2,728,scheduled,781.4,0.3108,0.6355,0.6,0.24
26,2026-03-15T06:00:00+0000,2,728,scheduled,623.9,0.3224,0.5817,0.6,0.24
27,2026-03-24T06:00:00+0000,2,728,scheduled,793.2,0.299,0.6287,0.6,0.24
28,2026-04-01T17:40:00+0000,2,728,scheduled,739.2,0.3138,0.621,0.6,0.24
29,2026-04-09T18:20:00+0000,2,728,scheduled,697.6,0.3234,0.6133,0.6,0.24
30,2026-04-18T06:00:00+0000,2,728,scheduled,748.3,0.3164,0.6274,0.6,0.24
31,2026-04-27T06:00:00+0000,2,728,scheduled,769.5,0.304,0.6238,0.6,0.24
32,2026-05-05T16:10:00+0000,2,728,scheduled,722.2,0.306,0.6061,0.6,0.24
33,2026-05-14T13:10:00+0000,2,728,scheduled,700.9,0.2986,0.5899,0.6,0.24
34,2026-05-23T14:10:00+0000,2,728,scheduled,808.9,0.2893,0.6255,0.6,0.24
35,2026-06-01T06:00:00+0000,2,728,scheduled,663.3,0.3055,0.5811,0.6,0.24
36,2026-06-09T20:10:00+0000,2,728,scheduled,635.3,0.2887,0.5527,0.6,0.24
37,2026-06-17T18:20:00+0000,2,728,scheduled,824.9,0.2952,0.638,0.6,0.24
38,2026-06-26T14:00:00+0000,2,728,scheduled,708.4,0.2999,0.5943,0.6,0.24
39,2026-07-04T19:10:00+0000,2,728,scheduled,718.8,0.2964,0.5951,0.6,0.24
40,2026-07-13T12:10:00+0000,2,728,scheduled,726.9,0.2904,0.5925,0.6,0.24
41,2026-07-22T12:20:00+0000,2,728,scheduled,743.6,0.2807,0.5897,0.6,0.24
